,loss,lr
82,161.68331909179688,0.001
83,159.2954864501953,0.001
84,158.80673217773438,0.001
85,162.3815155029297,0.001
86,164.78538513183594,0.001
87,165.35829162597656,0.001
88,159.154052734375,0.001
89,160.7457733154297,0.001
90,157.994384765625,0.001
91,158.74539184570312,0.001
92,163.65435791015625,0.001
93,173.52554321289062,0.001
94,166.00474548339844,0.001
95,163.6082305908203,0.001
96,161.81906127929688,0.001
97,161.23736572265625,0.001
98,158.65655517578125,0.001
99,159.7259063720703,0.001
100,165.66940307617188,0.001
101,160.70481872558594,0.001
102,160.75726318359375,0.001
103,168.8948516845703,0.001
104,158.51773071289062,0.001
105,166.9867706298828,0.001
106,165.9719696044922,0.001
107,157.60995483398438,0.001
108,156.61715698242188,0.001
109,155.9266815185547,0.001
110,154.39492797851562,0.001
111,161.16455078125,0.001
112,157.67018127441406,0.001
113,157.89479064941406,0.001
114,154.7544403076172,0.001
115,152.4441375732422,0.001
116,152.1183319091797,0.001
117,153.12710571289062,0.001
118,151.96986389160156,0.001
119,150.22927856445312,0.001
120,153.91705322265625,0.001
121,156.930419921875,0.001
122,153.9851837158203,0.001
123,155.59335327148438,0.001
124,148.3844757080078,0.001
125,150.9787139892578,0.001
126,152.73611450195312,0.001
127,152.48202514648438,0.001
128,148.55938720703125,0.001
129,148.5010986328125,0.001
130,149.6772918701172,0.001
131,165.11566162109375,0.001
132,167.22113037109375,0.001
133,167.22897338867188,0.001
134,156.83078002929688,0.001
135,151.51361083984375,0.001
136,152.74374389648438,0.001
137,151.95545959472656,0.001
138,151.4884796142578,0.001
139,153.0970458984375,0.001
140,158.21673583984375,0.001
141,151.65716552734375,0.001
142,150.96875,0.001
143,150.01136779785156,0.001
144,150.09939575195312,0.001
145,150.24562072753906,0.001
146,152.9939727783203,0.001
147,147.7233428955078,0.001
148,151.48675537109375,0.001
149,158.5063018798828,0.001
150,156.23605346679688,0.001
151,152.62818908691406,0.001
152,153.48757934570312,0.001
153,157.3365936279297,0.001
154,148.2288360595703,0.001
155,147.33749389648438,0.001
156,153.1736602783203,0.001
157,156.03858947753906,0.001
158,156.92344665527344,0.001
159,148.6217041015625,0.001
160,146.01817321777344,0.001
161,146.66358947753906,0.001
162,145.9684600830078,0.001
163,144.6396484375,0.001
164,147.01406860351562,0.001
165,145.51882934570312,0.001
166,145.2797088623047,0.001
167,145.2600555419922,0.001
168,145.72593688964844,0.001
169,150.95864868164062,0.001
170,151.0515594482422,0.001
171,147.21961975097656,0.001
172,148.87197875976562,0.001
173,145.32723999023438,0.001
174,150.57162475585938,0.001
175,159.87432861328125,0.001
176,156.61553955078125,0.001
177,152.65560913085938,0.001
178,146.2119598388672,0.001
179,150.80322265625,0.001
180,145.9285125732422,0.001
181,149.51048278808594,0.001
182,145.6903076171875,0.001
183,150.21311950683594,0.001
184,146.52330017089844,0.001
185,158.7712860107422,0.001
186,151.7241973876953,0.001
187,148.11001586914062,0.001
188,148.2194366455078,0.001
189,145.82720947265625,0.001
190,143.93568420410156,0.001
191,145.3495330810547,0.001
192,143.14251708984375,0.001
193,147.4987030029297,0.001
194,146.9949493408203,0.001
195,145.03419494628906,0.001
196,144.23330688476562,0.001
197,149.9719696044922,0.001
198,149.7884063720703,0.001
199,143.50254821777344,0.001
200,142.93563842773438,0.001
201,140.88734436035156,0.001
202,142.04644775390625,0.001
203,142.3179168701172,0.001
204,143.26498413085938,0.001
205,139.7456817626953,0.001
206,138.60963439941406,0.001
207,142.09329223632812,0.001
208,141.30349731445312,0.001
209,143.91452026367188,0.001
210,147.23043823242188,0.001
211,152.24217224121094,0.001
212,145.822509765625,0.001
213,142.29347229003906,0.001
214,144.60623168945312,0.001
215,142.0539093017578,0.001
216,140.8939666748047,0.001
217,140.39273071289062,0.001
218,136.27999877929688,0.001
219,138.04994201660156,0.001
220,142.2525634765625,0.001
221,142.49671936035156,0.001
222,139.104736328125,0.001
223,138.12240600585938,0.001
224,139.4008026123047,0.001
225,141.4951934814453,0.001
226,140.1225128173828,0.001
227,135.75413513183594,0.001
228,136.19107055664062,0.001
229,135.75682067871094,0.001
230,135.37213134765625,0.001
231,139.4342498779297,0.001
232,138.21615600585938,0.001
233,136.6228485107422,0.001
234,134.89454650878906,0.001
235,140.6837921142578,0.001
236,137.9232635498047,0.001
237,136.8759307861328,0.001
238,142.0224609375,0.001
239,139.45338439941406,0.001
240,139.48648071289062,0.001
241,142.67855834960938,0.001
242,139.62139892578125,0.001
243,136.9082794189453,0.001
244,137.25450134277344,0.001
245,136.60855102539062,0.001
246,143.53443908691406,0.001
247,144.24041748046875,0.001
248,143.31837463378906,0.001
249,141.64910888671875,0.001
250,148.8376007080078,0.001
251,146.66258239746094,0.001
252,143.14491271972656,0.001
253,140.65318298339844,0.001
254,138.11561584472656,0.001
255,135.66822814941406,0.001
256,133.33526611328125,0.001
257,135.17935180664062,0.001
258,134.74436950683594,0.001
259,143.0777587890625,0.001
260,140.19129943847656,0.001
261,146.79541015625,0.001
262,139.8837890625,0.001
263,136.48825073242188,0.001
264,136.69004821777344,0.001
265,134.19973754882812,0.001
266,141.8296661376953,0.001
267,138.71859741210938,0.001
268,146.0575408935547,0.001
269,143.25160217285156,0.001
270,138.64358520507812,0.001
271,138.04159545898438,0.001
272,140.7987060546875,0.001
273,138.92178344726562,0.001
274,135.75157165527344,0.001
275,137.0190887451172,0.001
276,135.24143981933594,0.001
277,139.48654174804688,0.001
278,135.9591827392578,0.001
279,139.41969299316406,0.001
280,134.2615509033203,0.001
281,134.971435546875,0.001
282,135.39617919921875,0.001
283,140.20703125,0.001
284,148.13400268554688,0.001
285,144.67694091796875,0.001
286,140.7554168701172,0.001
287,138.225830078125,0.001
288,136.28756713867188,0.001
289,134.76206970214844,0.001
290,146.11143493652344,0.001
291,143.68275451660156,0.001
292,139.2108154296875,0.001
293,141.20071411132812,0.001
294,139.8718719482422,0.001
295,134.99435424804688,0.001
296,136.4167938232422,0.001
297,132.77928161621094,0.001
298,133.93283081054688,0.001
299,133.18814086914062,0.001
300,131.41310119628906,0.001
301,135.1920623779297,0.001
302,134.31663513183594,0.001
303,136.415283203125,0.001
304,134.78163146972656,0.001
305,137.69998168945312,0.001
306,134.95538330078125,0.001
307,136.55323791503906,0.001
308,135.77578735351562,0.001
309,135.68238830566406,0.001
310,136.4676971435547,0.001
311,138.0923309326172,0.001
312,135.0746307373047,0.001
313,137.45809936523438,0.001
314,143.01637268066406,0.001
315,142.3674774169922,0.001
316,135.8651123046875,0.001
317,131.5415496826172,0.001
318,132.50277709960938,0.001
319,135.8155975341797,0.001
320,137.3584747314453,0.001
321,143.78646850585938,0.001
322,145.7158203125,0.001
323,140.915283203125,0.001
324,141.2119903564453,0.001
325,135.94992065429688,0.001
326,133.9499969482422,0.001
327,132.44468688964844,0.001
328,129.38450622558594,0.001
329,131.92430114746094,0.001
330,132.39370727539062,0.001
331,139.28939819335938,0.001
332,138.31590270996094,0.001
333,134.4866180419922,0.001
334,130.5808563232422,0.001
335,130.02395629882812,0.001
336,134.00387573242188,0.001
337,131.34976196289062,0.001
338,133.17930603027344,0.001
339,148.47793579101562,0.001
340,150.25038146972656,0.001
341,141.83265686035156,0.001
342,134.2549285888672,0.001
343,133.0714569091797,0.001
344,131.46014404296875,0.001
345,131.7848663330078,0.001
346,141.4091796875,0.001
347,140.1786651611328,0.001
348,150.25619506835938,0.001
349,141.3637237548828,0.001
350,142.36691284179688,0.001
351,136.5543670654297,0.001
352,134.77394104003906,0.001
353,135.69618225097656,0.001
354,133.9617919921875,0.001
355,136.97557067871094,0.001
356,137.63783264160156,0.001
357,132.11265563964844,0.001
358,128.70252990722656,0.001
359,134.2003173828125,0.001
360,131.77542114257812,0.001
361,131.5367431640625,0.001
362,132.73690795898438,0.001
363,135.17257690429688,0.001
364,130.0762939453125,0.001
365,130.0649871826172,0.001
366,127.80248260498047,0.001
367,126.89765167236328,0.001
368,127.41796112060547,0.001
369,131.71717834472656,0.001
370,138.9215850830078,0.001
371,139.86312866210938,0.001
372,132.61541748046875,0.001
373,129.9476776123047,0.001
374,126.00069427490234,0.001
375,126.82860565185547,0.001
376,127.33799743652344,0.001
377,126.49060821533203,0.001
378,130.80332946777344,0.001
379,142.80599975585938,0.001
380,134.37875366210938,0.001
381,134.38929748535156,0.001
382,131.51937866210938,0.001
383,128.80502319335938,0.001
384,128.8112030029297,0.001
385,127.15188598632812,0.001
386,129.33409118652344,0.001
387,127.9060287475586,0.001
388,130.38497924804688,0.001
389,127.67280578613281,0.001
390,128.04928588867188,0.001
391,128.9009246826172,0.001
392,127.38142395019531,0.001
393,128.22811889648438,0.001
394,127.33064270019531,0.001
395,124.03382110595703,0.001
396,127.50443267822266,0.001
397,125.85689544677734,0.001
398,135.30001831054688,0.001
399,132.7257080078125,0.001
400,133.25741577148438,0.001
401,134.67764282226562,0.001
402,132.13595581054688,0.001
403,128.0029296875,0.001
404,126.57099151611328,0.001
405,123.7085189819336,0.001
406,126.1581039428711,0.001
407,126.82596588134766,0.001
408,141.20883178710938,0.001
409,147.7020263671875,0.001
410,146.58201599121094,0.001
411,144.0389862060547,0.001
412,135.6762237548828,0.001
413,132.1440887451172,0.001
414,130.14297485351562,0.001
415,127.39327239990234,0.001
416,126.41558074951172,0.001
417,129.54959106445312,0.001
418,132.2601776123047,0.001
419,131.50474548339844,0.001
420,132.45005798339844,0.001
421,133.90489196777344,0.001
422,127.48201751708984,0.001
423,125.17327117919922,0.001
424,128.41818237304688,0.001
425,130.07408142089844,0.001
426,131.09042358398438,0.001
427,130.85780334472656,0.001
428,129.55368041992188,0.001
429,126.72206115722656,0.001
430,127.77642822265625,0.001
431,124.64959716796875,0.001
432,124.04344177246094,0.001
433,123.09979248046875,0.001
434,121.76824951171875,0.001
435,126.78038787841797,0.001
436,125.32157897949219,0.001
437,125.24024963378906,0.001
438,125.9178466796875,0.001
439,142.34713745117188,0.001
440,141.5872802734375,0.001
441,136.91830444335938,0.001
442,133.13771057128906,0.001
443,129.73048400878906,0.001
444,130.90377807617188,0.001
445,135.08103942871094,0.001
446,130.52015686035156,0.001
447,130.6407928466797,0.001
448,126.31533813476562,0.001
449,124.45460510253906,0.001
450,128.22012329101562,0.001
451,133.7108612060547,0.001
452,128.0281982421875,0.001
453,129.24874877929688,0.001
454,130.215576171875,0.001
455,125.88143157958984,0.001
456,126.83850860595703,0.001
457,123.88330841064453,0.001
458,136.62364196777344,0.001
459,133.6463623046875,0.001
460,130.10635375976562,0.001
461,126.65482330322266,0.001
462,126.12313842773438,0.001
463,127.45552825927734,0.001
464,125.1552505493164,0.001
465,134.5411376953125,0.001
466,128.81906127929688,0.001
467,125.53443145751953,0.001
468,124.4928207397461,0.001
469,121.04794311523438,0.001
470,127.60691833496094,0.001
471,128.58181762695312,0.001
472,130.47445678710938,0.001
473,129.84690856933594,0.001
474,127.9377670288086,0.001
475,127.61279296875,0.001
476,125.66910552978516,0.001
477,123.40438842773438,0.001
478,129.65574645996094,0.001
479,129.2075653076172,0.001
480,125.31554412841797,0.001
481,124.59121704101562,0.001
482,124.36481475830078,0.001
483,130.72596740722656,0.001
