,loss
108,285.49981689453125
109,282.5440979003906
110,282.5303955078125
111,285.7147216796875
112,278.44891357421875
113,280.4920349121094
114,279.28826904296875
115,280.5693359375
116,281.5849609375
117,285.39190673828125
118,279.49932861328125
119,276.8873291015625
120,286.0619201660156
121,279.1001281738281
122,281.1248779296875
123,274.92486572265625
124,278.84002685546875
125,293.06005859375
126,285.342529296875
127,280.7419128417969
128,281.54840087890625
129,291.0035095214844
130,281.1241149902344
131,264.6107177734375
132,263.28839111328125
133,261.510009765625
134,260.1301574707031
135,260.9473571777344
136,259.7952575683594
137,259.3589782714844
138,259.6562194824219
139,260.8932189941406
140,257.94537353515625
141,254.90936279296875
142,254.1022186279297
143,255.30642700195312
144,252.7245330810547
145,252.44561767578125
146,251.8780517578125
147,250.70095825195312
148,251.2102813720703
149,251.18734741210938
150,251.20321655273438
151,252.21763610839844
152,255.29295349121094
153,251.25619506835938
154,249.38601684570312
155,248.5493621826172
156,246.82757568359375
157,246.59349060058594
158,247.93898010253906
159,246.6184844970703
160,246.59715270996094
161,243.3953399658203
162,244.37460327148438
163,242.53109741210938
164,242.015380859375
165,243.3511199951172
166,243.87686157226562
167,241.15167236328125
168,240.6541748046875
169,243.88525390625
170,248.32778930664062
171,244.9770050048828
172,244.8526611328125
173,242.023193359375
174,247.4182891845703
175,245.65847778320312
176,244.26368713378906
177,241.00071716308594
178,238.4681396484375
179,239.8380889892578
180,235.34315490722656
181,237.04470825195312
182,235.90077209472656
183,238.32168579101562
184,240.3964080810547
185,235.4452667236328
186,235.88172912597656
187,231.7200164794922
188,234.4635772705078
189,232.35646057128906
190,234.13629150390625
191,232.9900665283203
192,229.5290985107422
193,230.032958984375
194,229.2064666748047
195,231.97564697265625
196,230.38221740722656
197,229.2865753173828
198,229.00567626953125
199,227.25350952148438
200,229.13145446777344
201,229.3460693359375
202,229.43629455566406
203,227.82215881347656
204,229.36270141601562
205,224.20953369140625
206,225.68467712402344
207,227.676025390625
208,227.10617065429688
209,223.28880310058594
210,222.81358337402344
211,221.7454376220703
212,223.28012084960938
213,222.27734375
214,221.39376831054688
215,222.37704467773438
216,221.13894653320312
